What's the highest stratovolcano in Africa?,(?i)Kilimanjaro
What's the highest mountain on the Earth?,(?i)Everest|Sagarmatha|Chomolungma
What's the highest mountain in Europe,(?i)Elbrus|Mont Blanc
What's mount Everest height in meters?,8848|8850
In the territory of which country is Mount Ararat?,(?i)Turkey
How many eight-thousanders on Earth?,14
How many eight-thousanders are located in the Himalayan?,10
How many eight-thousanders are located in the Karakoram?,4
How many eight-thousanders are located in the Andes?,0
Which eight-thousander was first climbed?,(?i)Annapurna
